no.,Gloss,FORM
65.,fruit,*bobo-kuí
66.,full,*wiNíka
67.,fur,*-ná-i
68.,gourd,*dére-bɨ
69.,grease,"*-nasí-tsi-/-wa, *-Na-sí-tsi/wa"
70.,guan,*kuYu-wi
71.,hair,*ma-ta-nao
72.,hammock,*buu
73.,hand,*-kóbe
74.,he,*khum-po-ni
75.,hear,"*húme-tane, *húme-taNe"
76.,heart,*-humata-bɨ-ɨthɨ-to
77.,heavy,*a-réwi
78.,hen,*wakará
79.,here,*hó-ta
80.,his,*pE-
81.,hold,"*xáina, *xáiNa"
82.,hot,*a-táhu-enik
83.,house,*bau
84.,how,"*pa-kuénia, *pa-kuéNia"
85.,huge rocks,*p-ĩbo-to
86.,hummingbird,*se-si-bá-ri/-u/-Ci-to
87.,husband,*-amuNa-to
88.,husband,*-pébi
89.,I,*xá-ni
90.,iguana,*matíbi
91.,imperative,*-ma
92.,imperative,*-re
93.,"in, at",*-ta
95.,intestines,*-ɨ́nɨ
96.,island,*tuanái-to
97.,jaguar,*neúthɨ
98.,kill,*beaxú-a-ba
99.,knee,*-ma-ta-baókao
100.,know,"*yapí-tane, *yapí-taNe"
101.,lake,*púka
102.,lie down,*rúka
103.,lightning,*Yáamaxɨ
104.,lip,*Ci-uphi-Yólo/ri
105.,liver,*pa-hapa-
106.,long,*a-pía
107.,long hair,"*ã-ma-tao-ná-pia, *ã-ma-tao-Ná-pia"
108.,louse,*talí
109.,lower arm,*ma-xi-sí-pa-pa
110.,lower leg,*sí-to
111.,lungs,*ka-fo-fóbi
112.,macaw,*máha
113.,man,*pébĩ
114.,manioc,*bawá
115.,manioc flour,*matsúka
116.,many,*na-wi-ta
117.,miriti palm,*ino-hóa-bo/to
118.,"monkey, howler",*níhẽ
119.,mosquito,*wéasɨ
120.,mother,*p-éna
121.,mouth,*kui-bo-to
122.,my,*ta-x
123.,my,*taha-
124.,name,*-wɨ́-ni
125.,near,*imokhó-yo
126.,neck,*Ce-i-sí-to
127.,new,"*ha-na-ha-wa, *ha-Na-ha-wa"
128.,night,*meráwi
129.,nose,*phúmu
130.,old man,*perú-hu-ni/wa-yo
131.,old woman,*perú-hu-wa
132.,one,*kaé-haewa
133.,otter,*bohóNao-wi
134.,our,*wa-ha
135.,our,*pa-ta
136.,paca,*opheá-bi
137.,paddle,"*ka-téna-pa, *ka-téNa-pa"
138.,parakeet,*tsé-le/Ci-to
139.,parrot,*óNau
140.,"path, trail, road",*nã-mue-to
141.,pebbles,*síki-ibo-to-xi/tiyo
142.,white-lipped peccary,*habítsa
143.,collared peccary,*tsamaú-li
144.,people,*híwi
145.,piranha,*kowára-bo
146.,piranha,*fe-le-le-va-
147.,push,*to-ró-/tá-ba
148.,rain,*éma
149.,rattle,*tsi-tsí-bu
150.,rattlesnake,*yaa-sí-to
151.,red,*tsobía
152.,"river, stream","*méne, *méNe"
153.,river turtle,*hála
154.,root,*-tabú-topa
155.,rope,*-amí-to
156.,saliva,"*-i-óne, *-i-óNe"
157.,sand,*tahita-atsa
158.,see,*tá-Ne/naɨ/ne-kota
159.,seed,*-xú-
160.,sew,*horáuka
161.,she,*pó-wa
162.,shoulder,*-wɨ/o-tá-kura
163.,shoulder,*kóf-ia/eri
164.,sing,"*na-xɨ́ana, *na-xɨ́aNa"
165.,sit,*éka
166.,skin,*pera-bo/i
167.,sky,*itá-bokhau
168.,sleep,*mahí-ta/teka
169.,smell,*tuxú-ne/na/Ne/Na
170.,smooth,*kóni-hai
171.,snake,*hómo
172.,spider,*khaumɨ-bɨ-to
173.,split,*waúkoba
174.,stand,*Núka
175.,stick,*náe-hava/wa-ta
176.,stomach,*kó-to/so-to/-ro
177.,stone,*ibó-
178.,sun,*húami-to
179.,sweet potato,*dáithi
180.,swell,*ya-hín/Na
181.,tail,*bosó-to
182.,tapir,*métsa-ha
183.,termite,*ophó
184.,that,*bahará-xua
185.,their,*pe-
186.,their,*pi-ha/yeníhi-
187.,they,*po-món/Nae
188.,thick,*aitayáɨ
189.,thigh,*-topa-thái
190.,think,*nahunatabi xáin/Na
191.,this,*xuá
192.,thou,*xámɨ
193.,toad,*busɨ-to
194.,tobacco,*tséma
195.,tongue tip,*e-bá-rɨ-to-kopi-a
196.,tooth,*-a-wáuno
197.,toucan,*tuikuékue
198.,"tree, stick","*náe-hava, *hae-wa"
199.,upper back,*-hu-ma
200.,village,*tómara
201.,vomit,*y/n-akába
202.,walk,*póna-pona
203.,wash,*ki-á-ta
204.,water,*mé-ra
205.,we,*waxái-tsi
206.,when,*detsa/eta-pao-kuín/Naehi
207.,whip,*détsa/éta hóta
208.,wife,*piha-wa
209.,wind,*hoibóa
210.,wing,*kúarau-fe
211.,woman,*pe-tíri-wa
212.,worm,*oro
213.,wrist,*kóbe-ya-vére/hóri-to
214.,ye,*pa-xá-mi
215.,year,*wái
216.,your (pl.),*pa-n/Ne-
217.,your (sg.),*ni-hi
