No.,Gloss,FORM
125,pulmón,*-atˀid
126,"preocuparse, afligirse",*-atˀitˀatˀá
127,entrar,*-(a)tˀitˀe
128,lágrima,*-átˀiʔ
129,hervir,*-atˀjam
130,espuma,*-atˀjam-aqa
131,gemir,*-atˀjVte
132,bostezar,*-atˀó
133,coronilla,*-atˀo
134,embarcación,*-átˀoko
135,hinchazón,*-atˀon
136,liendre,*-atˀoqomatˀá
137,golpear,*-atˀoqˀen
138,corriente,*-atˀow-aqa
139,"fluir, correr (un líquido)",*-atˀow-ate
140,quieto (estar),*-atsaqa
141,ceniza(s),*-atsi
142,grasa,*-atsitV
143,dorado,*atsˀiwanaqa
144,sacudir,*-atsˀjól
145,trueno,*-atʃákonaqa
146,"tardar, tarde (ser)",*-atʃep
147,garuar,*-atʃi
148,mejilla,*-atʃikʔe
149,"axila, sobaco",*-atʃiqataki
150,enamorarse,*-atʃoki
151,golpear,*-atʃˀakˀan
152,"junto a, al lado",*-atʃˀape
153,contenido,*-atʃˀé
154,"madera, labrar (madera)",*-atʃˀék
155,oír,*-atʃipˀatˀe
156,labio (superior),*-atʃˀípi
157,tapir,*-atʃˀipiqáqa
158,"madurar, envejecer",*-atʃˀóqʔa
159,pantorrilla,*-atʃˀóte
160,"saltar, bailar",*-atʃˀóte
161,hambriento (estar),*-aw
162,descendiente,*-awa
163,"andar, caminar",*-awalek
164,nieto,*-awálo
165,caudaloso,*awaqa
166,"causante (ser), culpable (ser)",*-awaqátˀe
167,"carpincho, vizcacha",*awaqe
168,"enojo, enojarse",*-awela
169,"sorpresa, miedo",*-awela
170,"aire, soplar",*-awen
171,medio (en el),*-awen(V)
172,"atardecer, oeste",*-áwi
173,mortero,*-awijó
174,sangre coagulada,*-awiˀlotˀa
175,muchacho,*-awinkˀa
176,Venus (planeta),*-áwi-ʔtʃi
177,asar,*-awó
178,fornicar,*-awóko
179,flor,*-awoqó
180,sangre,*-awot
181,hacer,*-awoʔó
182,ala,*-aˀwá
183,negro,*-aˀwed
184,"arder, quemarse",*-aˀwí
185,"pararse, subir",*-aˀwi
186,aunque,*-aʔitˀeqa
187,"agutí, conejo",*Canakiʔtʃik
188,no (negación predicativa),*Caqa
189,contra (estar en),*-daqa
190,usar,*-dilam
191,"extendido, vertical",*ˀda
192,"uno (extendido vertical)",*-ˀda-
193,"extendido, horizontal",*ˀdi
194,"isla, banco de arena",*ˀdileko
195,marcar,*-ede
196,niño,*-eˀga
197,"nombrar, llamar",*-ej
198,yo,*ejéˀm
199,"madurar, fructificar, maduro (estar)",*-eji
200,detenerse,*-eˀjikV
201,"qué, quién",*éka
202,ir,*-eko
203,ya,*ékote
204,blanco,*-elajka
205,"contar, numerar",*-elawate
206,hamaca (para dormir),*-elatí
207,alto,*elék
208,largo,*-eloko-ʔaji
209,"aparecer, mostrar",*-eloqó
210,"contar, narrar",*-eloqote
211,"enfermedad, fiebre",*-elVlaqa
212,fruta (genérico),*eˀl-á
213,hombre,*eˀle
214,"comer, comida",*-eˀlíko
215,"helada, escarcha",*eˀloˀní
216,esfera,*-ema
217,hablar,*-ematˀe
218,"copete, penacho",*-émi
219,"sentir, percibir",*-émV
220,"amar, querer",*-eˀmaˀn
221,ola,*epe̓qa
222,"garrote, maza",*epon
223,"chato, plano","*-epˀa, -epˀá-qa"
224,planta (especie),*epˀí
225,desplumar,*-epˀwek
226,"soltar, dejar",*-eqʔaˀn
227,tábano,*eqˀoka
228,"rojo, sangre",*-etˀekˀe
229,rociar,*-etˀikˀe
230,tuerto (ser o estar),*etˀowin-
231,"soplar, aspirar",*-etʃjod
232,pez (especie),*etʃˀalo
233,áspero (ser),*-etʃˀaqá
234,"gusano, lombriz",*etʃˀawide
235,"sarna, sarnoso (ser o estar)",*-etʃˀeqa
236,"raspar, rascar",*-etʃˀi
237,"huérfana, hijastra",*-etʃˀj-o
238,tía,*-etʃjód-ʔo ~ *-etʃjód-o
239,"escama, verruga",*-étʃˀo
240,morder,*-ewak
241,hombro,*-ewáke
242,despertar,*-ewekˀa
243,"cansarse, cansado (estar), pereza (tener), perezoso (ser)",*-ewela
244,enredar,*-ewelV
245,"neblina, rocío",*ewi
246,palitos para encender fuego,*-ewi
247,rasguñarse,*-ewik
248,despedazar,*-ewiki
249,"vida, vivir",*-ewiqa
250,ropa,*-ewó
251,lluvia,*eˀwikˀi
252,sí,*éʔe
253,"nombrar, llamar",*-eʔeˀn
254,nombre,*-eʔeˀn-aqáte
255,"joven, muchacho",*eʔoneqa
256,dormir,*-eʔotˀé
257,"a causa de, porque",*-eʔqoʔoti
258,encender,*-gede
259,"nuevo, nuevo (ser)",*-géla
260,imitar,*-gena-qate
261,"salobre (ser), salado (ser o estar)",*-gVtˀja
262,soñar,*-ˀgem
263,ruido,*-ˀgiˀgi
264,desear,*-idjáqe
265,allá,*iˀda
266,"dos (extendidos o verticales)",*iˀda-wa
267,allá,*iˀdi
268,"dos (extendidos o horizontales)",*iˀdi-wa
269,"senda, sendero",*-ik
270,terminar,*-ikod
271,"intentar, probar",*-ikʔén
272,cantidad,*-ikˀa
273,"ceremonia, fiesta",*-ikˀiˀjaqe
274,destino,*-ikˀjaq
275,"como (ser), igual (ser)",*-ikˀjaqem
276,hombro,*-ilak
277,"desparramar(se), dispersar(se)",*-ilaka
278,"grillo, langosta",*ilék
279,sandía (silvestre),*ileká
280,blando (ser o estar),*-ili
281,palo santo (Bulnesia sarmientoi),*ilik-iko
282,"revolver, dar(se) vuelta",*-iloqʔo
283,"espalda, techo",*-iˀlaqa
284,morir,*-iˀléw
285,matar,*-iˀléw-ate
286,hipo,*-imaʔqá
287,nariz,*-imíqˀo
288,algarroba,*inaqa
289,"verano, año",*inaqá
290,aqui,*iˀna
291,"dos (no extendidos y tridimensionales)",*iˀni-wa
292,descascarar,*-iqala
293,techo,*-iqela(-qa)
294,pene,*-iqote
295,apuntar,*-iqˀé
296,"gota, gotera, gotear",*-itˀé
297,gustar,*-itˀen
298,resina,*-itˀjáʔqa
299,calentar(se),*-itˀón
300,puma (Puma concolor),*itʃe
301,barro,*-itʃˀoqa
302,arrugarse,*-iweqʔa
303,cantidad,*-iwóqˀote
304,ocupar,*-iˀwaqˀen
305,obedecer,*-iʔaqade
306,"saber, entender",*-iʔatsˀén
307,casi,*jamekˀetˀa
308,todavía,*jaq
309,extrañar,*-jatˀa
310,de repente,*-jeqotˀi
311,desdicha,*-jeʔqˀod-áqa
312,compadecerse,*-jeʔqˀod-én
313,"desdichado, desdicha",*-jeʔqˀod-ik
314,obligar,*-jidá
315,tropezar,*-jiʔqo
316,animal,*-jitʃé-qa-k
317,"pedir, querer",*-jiqe
318,amanecer,*-jiʔekoj
319,perder,*-jVte
320,"hechizar, pronunciar un encantamiento",*-ˀja-qˀan
321,padre,*-ˀjod
322,madre,*-ˀjod-ó
323,agua,*-ˀjokote
324,"chancho del monte, pecari (Tajassu pecari)",*-kedǎke
325,yaguareté,*keˀdjóko
326,comer,*-kége
327,grano (grande),*-ketˀé
328,robusto (ser),*ketʃˀa-
329,afilar,*-kewoko
330,atar,*-kojeni
331,roncar,*-kokˀom
332,moco,*kópˀid
333,abrir,*-kotʃˀá
334,olfatear,*-kowi
335,"sonreír, suspirar",*-kowi
336,"ausente, fuera de la vista",*kˀa
337,"uno (ausente o fuera de la vista)",*-kˀa
338,"cuchillo, cincel",*-kˀate
339,herido (estar),*-kˀelo
340,almeja,*kˀená
341,oreja,*-kˀetˀélV
342,espina,*kˀetsi
343,"guacamayo, cotorra",*kˀilike
344,"señas (hacer), saludar",*-kˀin
345,"doler, dolor",*-kˀiʔ
346,lagartija,*kˀolaqa
347,pez (especie),*kˀoté
348,también,*kˀotsV
349,pelota,*-kˀVleke
350,paz (estar en),*-lakˀítˀi
351,sonar,*-lam
352,reunir(se),*-lapˀo
353,"período, tiempo",*láqˀotˀ
354,río,*latiwˀgé
355,"mudarse, cambiar de lugar de residencia",*-látˀi
356,"miel, abeja",*lawójkˀe
357,dulce (ser o estar),*-leˀdi
358,empapado (estar),*-lemV
359,enrollar,*-lepˀate
360,"vibora, serpiente",*léqˀa
361,después (de mucho tiempo),*leʔeki
362,ganas (tener),*-lida
363,palo para sostener el techo,*-like
364,rodilla,*-likete
365,empujar,*-likóte
366,árbol (especie),*lilom-iko
367,sonar,*-lim
368,"luchar, pelear",*-lóke
369,"zapallo, calabaza",*lotˀáni
370,"enfrente, enfrente (estar)",*-loqʔo
371,árbol (especie),*lVqawjaqˀa-iko
372,reír (transitivo),*-ˀlatʃi
373,reír (intransitivo),*-ˀiatʃi-ʔaqan
374,orilla,*ˀlenjoqá
375,otro,*ˀlijV
376,chupar,*-ˀlip
377,"ver, mirar",*-ˀlo
378,calmar,*-ma
379,"cuando, todavía",*maˀle
380,azulado,*málqˀad
381,cualquiera,*matˀi
382,que,*me
383,lugar de descanso,*-med
384,decir,*men
385,"vas, ¡vete!",*mo
386,abuela,*ˀmi?
387,pulga,*naloqo
388,"luz (natural), sol, día",*nalóʔ
389,dejar,*-nanja-
390,cuando (no futuro),*náqa
391,gusano,*nateteqa
392,ave (especie),*natote
393,después (de poco tiempo),*nátˀeg
394,caracol,*natʃéjo
395,chuña (Cariama cristata),*natʃi-niko
396,tubérculo (similar a mandioca),*nawjék
397,satisfacción,*naʔats-ik
398,nuca,*-náʔqe
399,inundación,*neˀdep
400,campo,*nepˀodek
401,gatear,*-neqalek
402,fruta (determinada),*newakˀé
403,"¡toma!, ¡agárralo!",*neˀa
404,árbol,*něʔaˀle
405,"olor, hedor",*-nik
406,gusano,*nikotʃaqa
407,forúnculo,*-niloko
408,culpar,*-nimaqá
409,llorar,*-nojéˀn
410,torcer,*-noke
411,"ciempiés, escorpión",*noqo
412,quebrar,*-noqʔen
413,siempre,*noqˀáʔ
414,hurón,*noqˀo
415,algarroba,*noqˀolaqa
416,día,*noʔaqʔa
417,árbol (especie),*nVd-íko
418,arrancar hierba,*nVʔtek
419,revolver,*-n-wid-igˀi
420,"próximo, en movimiento",*ˀna
421,"uno (próximo y en movimiento)",*-ˀna-
422,"no extendido, tridimensional (clasificador deíctico)",*ˀni
423,"uno (no extendido y tridimensional)",*-ˀni-
424,"sentado (estar), sentarse",*ˀni-(tˀ-)iˀni
425,"noche, oscuridad",*ˀnoʔále
426,"dejar, abandonar",*-oˀjá
427,cargar,"*-oˀjaq, *-oˀjak"
428,"casa, toldería, familia",*-óˀjik
429,acostumbrarse,*-okˀa
430,envidiar,*-okˀija
431,cicatrizar,*-okˀoni
432,"derribar, derrumbar",*-olátˀi
433,raspar,*-olek
434,despreciar,*-(o)lekede
435,"sostener, sujetar, detener, defender",*-oli
436,"apresurarse, apurarse",*-oli(-tˀa)
437,"impedir, negar, mezquinar",*-olja
438,testículos,*-óˀla
439,fuego,*-oˀlét
440,acostarse,*-oma
441,trampa,*-óna
442,solo,*one-
443,volver,*-opˀil
444,buitre (Coragyps atratus),*opˀowé
445,apartar(se),*-oqó
446,"hastío (tener), aburrirse",*-oqolo
447,o,*-oqoʔa
448,solamente,*oqˀa
449,"manso (ser), amansado (estar)",*-oqʔo
450,crujir,*-oqˀo
451,caña (para flechas),*-oqˀotˀá
452,"otoño, invierno",*otˀap
453,leche,*-ótˀi
454,gordo (ser o estar),*-otˀjaqa
455,"silbido, silbar",*-otˀjeqʔoˀn
456,"fijar en un lugar, clavar, colocar",*-otˀon
457,"silencio, silencioso",*-otˀoqˀo
458,nalgas,*-otʃˀap
459,"hechizar, pronunciar un encantamiento",*-otʃˀi
460,cortar cabellos,*-otʃˀotˀek
461,"mellizos, gemelos",*owadjá?
462,comenzar,*-owe
463,diente,*-owe
464,"pensar, entender",*-owe
465,cuidar(se),*-owet
466,alcanzar,*-owid
467,atrás de,*-ówid
468,volver,*-owid
469,"flecha, punta (de flecha)",*-owiko
470,mucho(s),*owite
471,hacer,*-oʔen
472,trabajar,*-oʔen-áte
473,"temer, miedo (tener)",*-óʔi
474,"acostado (estar), acostarse",*-oʔo
475,malo,*paˀják
476,"más, más (ser)",*pake
477,cuerpo,*-pǎtˀa
478,"errar, equivocarse",*-patˀa
479,"tronco, raíz",*-pat?ád
480,nido,*-patˀó
481,"pisar, tropezar",*-pe-
482,"pelota, bola",*-pelekˀe
483,emparejar,*-peqatˀe
484,oso hormiguero,*petˀájo
485,hormiga,*petʃˀó
486,cielo,*piˀgéˀm
487,mandioca,*pijóko
488,rodear,*-potˀa
489,"resfriarse, moco, flema",*-pwVleqe
490,"noticia, informar, avisar",*-pwatik ~ *-pwadik
491,cangrejo,*-pweˀdákoqo
492,"cuerno, gajo",*-pwéwe
493,cornudo,*-pwēwe-(ˀ)naqa
494,rápido (ir),*-pˀadi
495,"calambre (tener), adormecerse el pie",*-pˀawe
496,"arriba (estar), encima (estar)",*-pˀe
497,cazar,*-pˀed-aqan
498,"delgado (ser), flaco (estar)",*-pˀege
499,planta (especie),*pˀeˀlak
500,"pisar, patear",*-pˀet-
501,disparar (flechas),*-pˀetˀen
502,"colocar, poner",*-pˀe-ʔaqan
503,arma (arrojadiza),*-pˀokˀen-ik
504,"hierba, pasto, paja",*-pˀokʔo(ˀ)djaqa
505,tropezar,*-pˀoqél
506,"sombra, oscuridad",*-pˀwal
507,"araña, escorpión",*pˀwaˀlVtˀV
508,viuda,*pˀwatʃoj
509,ciego,*qa-eˀla-qˀa
510,"no poder, necesitar",*-qalán
511,"difícil, difícil (ser)",*qalá-qa
512,dificultad,*-qal-aji-k
513,granizo,*qalatˀi
514,cebolla (planta parecida a...),*qalatˀi
515,"cháguar, caraguatá (Deinacanthon urbanianum)",*qalitˀé
516,encender,*-qate
517,esconder,*-qaté
518,resbalar,*-qatsˀile
519,"abeja, avispa",*qatˀé
520,"parpadear, guiñar los ojos",*-qatˀékoqo
521,armadillo,*qatˀowi-aqaji-k
522,ojo,*qekˀege
523,"garganta, collar",*-qelá
524,"ronco (estar), roncar",*-qelá
525,cuello,*-qetʃóte
526,"nada, no hay",*qewa
527,favorecer,*-qewa
528,"chamuco, biguá",*qodipˀe
529,débil (ser o estar),*-qomi
530,pierna (parte inferior),*qoˀná
531,"teñir, tintura",*(-)qotˀile
532,"pava de monte, charata (Ortalis canicollis)",*qotˀíwini
533,amarillo,*-qowi
534,amarillento,*-qowi-ʔaqa
535,"víbora, serpiente",*qowidí
536,mosquito,*qwanadó
537,detenerse,*-qˀaqe
538,encontrar,*-qˀate
539,"harto (estar), vomitar",*-qˀem
540,"gente, persona",*qˀo(ˀm)
541,nosotros,*qˀoˀm
542,codo,*-qˀoté
543,paloma,*qˀotˀaʔ
544,nudo,*qˀotˀe
545,débil (ser o estar),*qˀowa-
546,si... (condicional),*taqa
547,"conejo, rata grande",*tˀakím
548,sureño,*tˀakí-ʔtʃe-k
549,enceguecido (estar),*-tˀako
550,atragantarse,*-tˀapˀela
551,"caparazón, concha",*tˀápˀini
552,también,*tˀaqá
553,chajá,*tˀaqaqa
554,caña tacuara,*tˀaqatˀe
555,papá,*-tˀaʔá
556,"mancha, raya",*-tˀe
557,hornero (Fumarius rufus),*tˀed
558,"pelo, cabello, peinar",*-tˀek
559,chorlito,*tˀekeleke
560,"ir, venir",*-tˀek-ʔen
561,cuervo (Coragyps atratus),*tˀeketʃˀV
562,antiguo,*tˀeki
563,"borrar, borroso (ser)",*-tˀel-aqate
564,tero (Vanellus chilensis),*-tˀeˀlˑtˀeˀl
565,cuidar(se),*-tˀen
566,aplastado,*tˀepˀa-qa
567,aplastar,*-tˀepˀaq-ate
568,sobrina,*-tˀetʃˀe
569,sobrino,*-tˀetʃˀe-k
570,pierna,*-tˀi
571,ave acuática (especie),*tˀijo
572,apretar,*-tˀikaqa
573,ratón,*tˀíkaqa
574,sacudir,*-tˀikóqo
575,polilla,*tˀikoqon
576,picante (ser o estar),*-tˀim
577,mover,*-tˀinaqa
578,ciervo,*tˀiqa-niko
579,caburé (Glaucidium brasilianum),*tˀol
580,aunque,*tˀoma
581,cintura,*tsekʔe
582,dar,*-tsikotˀe
583,"cernir, zarandear",*-tsikV
584,palmera (Copernicia alba),*tsjáwa
585,"cornear, dar cornadas",*-tsókoqa
586,"rojo, sangre",*tsˀakód
587,sonar,*-tsˀimaqa
588,"lagarto, iguana",*tʃálikaji-k
589,"ruido, ruido (hacer)",*-tʃˀaqˀe
590,pez (especie),*tʃátʃinaqa
591,tal vez,*tʃimeʔ
592,"recompensar, vengarse",*-tʃitˀé
593,norte,*tʃiˀwa
594,"distante, en movimiento",*-tʃo
595,"uno (distante y en movimiento)",*-tʃo
596,"moler, picotear",*-tʃoko
597,árbol (especie),*tʃˀaláqˀa
598,soltero,*-tʃˀamaqáji-
599,liviano (ser),*-tʃˀate
600,"mecer, columpiar",*-tʃˀi
601,antiguo,*tʃˀiqo
602,"hacer entrar, entrada",*-tʃˀom
603,hermano,*-tʃˀoʔowa
604,cónyuge,*-Vˀdawá
605,algarroba,*Vlaqˀa
606,algarrobo (especie),*Vlaqˀ-íko
607,buscar,*-Vle
608,"brote, retoño",*-VlelVqá
609,‘límite,*-Vléqo
610,poner en,*-Vli
611,"bebida (fermentada, alcohólica)",*-Vt-áqa
612,esclava,*-Vtˀá
613,hablar,*-Vtˀáqa
614,mosca,*Vtˀaqa
615,pecho (de hombre),*-Vtˀéqe
616,ayudar,*-Vtsˀawá-n
617,"algarroba, algarrobo (especie)",*waˀjek
618,garza (especie),*waka
619,romperse,*-wakˀáke
620,planta (especie),*wáloqˀo
621,ave (especie),*wáqˀap
622,"dónde, donde",*waʔaqé
623,garrapata,*wedele
624,mal (hacer),*-wela
625,parte (ser),*-wen
626,"ver, mirar",*-wen
627,cuñado,*-wet
628,avispa,*wetˀeˀlo
629,veneno,*wetʃˀeqa
630,espíritu,*weweko
631,temblar,*-wiloqólo
632,"pedo, peerse",*-witˀi
633,guerrear,*-witˀidi
634,"cuerda, atar",*-witsˀe
635,"aire, viento, soplar, respirar",*-wokˀo
636,"cocinado, guisado",*-woˀl-ek
637,paloma,*wotˀíp
638,arco iris,*wotʃˀáko
639,escuerzo,"*ˀwága, *ˀwágaˑˀwága"
640,mano,*-ˀwaqa
641,golpear,*-ˀwaq-ʔén
642,"casa, toldería, familia",*-ˀwatˀa
643,esperar,*-ˀwatˀV
644,agujero,*-ˀwVˀg
645,"tatuaje, pintura (corporal)",*-ʔaˀde
646,lado,*-ʔají
647,acertar (con proyectil),*-ʔajtˀV
648,¡ay!,*ʔakáji
649,"sarpullido, grano (en el cuerpo)",*-ʔaketˀe
650,"cuero, piel",*-ʔáko
651,comadreja (Didelphis albiventris),*ʔal
652,"pedazo, parte, parte (ser), despedazar",*-ʔalekˀé
653,"calvicie, calvo (estar)",*-ʔalem
654,garza (especie),*ʔaletˀa
655,saliva,*-ʔaˀlé
656,tierra,*ʔaˀléwa
657,mujer,*-ʔaˀlo
658,"qué, quién (tema base de interrogativos)",*ʔame
659,manosear,*-ʔamén
660,tú,*ʔaˀm
661,"burla, burlado",*-ʔan-ek
662,arruinar,*-ʔáqate
663,atravesar,*-ʔaqatʃˀa
664,respiración,*-ʔati
665,no,*ʔatˀe
666,viento,*-ʔatˀV
667,"rápido (ir), primero (ir)",*-ʔawe
668,‘pecho (de mujer)’,*-ʔaweletˀe
669,jugo,*-ʔegi
670,temblar,*-ʔekˀí
671,espina,*-ʔeˀlé
672,apagarse,*-ʔem
673,apagar,*-ʔem-ate
674,"empacho, borrachera, empacharse, emborracharse",*-ʔemaqa
675,"izquierda, zurdo",*-ʔemáqa
676,decir,*-ʔen
677,disponer,*-ʔenaʔá
678,tejer,*-ʔeqon
679,"buscar agua, beber",*-ʔete
680,remedio,*-ʔetˀád
681,curar(se),*-ʔetˀad-én
682,invierno,*ʔetˀaˀm
683,frío (hacer o tener),*-ʔetˀé
684,vena,*-ʔetˀotá
685,estar en,*ʔetˀV-
686,"temer, miedo (tener)",*-ʔetsˀi
687,"hierba, pasto",*ʔéwaqa
688,"huir, escapar, liberar(se)",*-ʔilote
689,casa,*ʔiˀmék
690,"palo, leña, madera, árbol",*ʔipˀwáqo
691,"salir, echar",*-ʔoˀd
692,ahogado,*ʔokaq-aji-k
693,lamer,*-ʔokˀel-
694,sacar,*-ʔola
695,quedarse,*-ʔóna
696,"fuerte, valiente",*-ʔonjaqá-ji-
697,acaso,*ʔotaqá
698,despreciar,*-ʔotˀán
699,caer,*-ʔotsi(-tˀ-iˀni)
700,menor (ser el o la),*-ʔótʃa
701,ave,*ʔVˀléqa
702,excremento,"*-ʔVtˀ-ek, *-ʔVtˀ-aqa"
703,"arbusto, bosque (de arbustos)",*ʔVtˀi
704,animal,*-inikó
705,fruta,*-a
706,planta leñosa,*-iko
707,diminutivo,*-nV
708,perteneciente a... (nominalizador denominal),*-ʔtʃi
709,que tiene mucho... (nominalizador denominal y deverbal),*-(ˀ)naqa
710,que hace o tiene mucho...  (nominalizador denominal y deverbal),-tʃˀaqa
711,acompañante (nominalizador denominal y deverbal),-awa ~ *-aqawa
712,lugar para... (nominalizador denominal y deverbal),-alat ~ *-aqalat
713,atributivo (nominalizador deverbal),-ʔáji ~ *-aqʔáji
714,instrumento para... (nominalizador deverbal),-aqate
715,resultado (principalmente abstracto) (nominalizador deverbal),*-aqek
716,estado (nominalizador deverbal),*-aqa ~ *-qo
717,lugar en que... (nominalizador deverbal),*-ʔat ~ *-aqʔat
718,"cualidad de (color), matiz de (color) (nominalizador deverbal)",*-ʔaqa
719,resultado / objeto de la acción (nominalizador deverbal),*-ek
720,"todo(s), entero (cuantificador total)",*-ʔawéʔke ~ *-tˀaweʔke
721,cada (distributivo),*-pekˀe
722,uno(s) con otro(s),*-ʔake
723,hacia abajo,*-ˀni
724,hacia adentro,*-wo
725,hacia afuera,*-ekˀe
726,hacia arriba,*-Ciˀgeˀm
727,transitivizador agentivo,*-aqen
728,transitivizador causativo,*-aqatˀite
729,transitivizador instrumental,*-aqate ~ *-ate
730,verbalizador denominal,*-é(ˀ)n ~ *-ʔé(ˀ)n
731,I. persona singular ░,*ej- ~*j- (/J_V) ~ *ji- (/_C)
732,Ia. persona plural,*qoˀd- (/_V) ~ *qo-ː(/_V)
733,2a. persona singular,*qaˀd- (/_V) ~ *qa-:(/_C)
734,3a. persona (sustantivos alienables),*e(ˀ)l- ~ *(ˀ)1-
735,impersonal,*en- ~ *n-
736,Ia. persona singular,*i-n-
737,la. persona plural,*qo-n-
738,2a. persona singular,*qa-n-
739,3a. persona,*Ø-n-
740,alienabilizador,*n-
741,(alomorfo de) femenino,*-ʔé
742,(alomorfo de) femenino,*-a
743,femenino humano,*-o ~ *-ó - *-ʔo
744,masculino,*-ik
745,(alomorfo de) paucal,*-Vdi (C/_) ~ *-di (V/_)
746,(alomorfo de) paucal,"*-qa, *-qˀa"
747,(alomorfo de) paucal,*-ʔo ~ *-o
748,multitudinal,*-(V)dipˀi
749,plural distributivo,*-ʔaˀl
750,colectivo,*-pˀí
751,colectivo (principalmente en sustantivos referidos a vegetales),*-tʃate
752,femenino,*a-
753,masculino,*e-
754,dual,*-wa
755,negación léxica,*aqa-
756,1ᵃ persona singular activa,*tʃV- (/-C) ~ *etʃ- ~ *tʃ- (/-V)
757,1ᵃ persona plural activa,*tʃ(V)-...-ʔaqa
758,2ᵃ persona singular activa,*ʔa-
759,2ᵃ persona plural activa,*ʔa-...-ʔi
760,3ᵃ persona activa (alomorfo),*ji- (/_C) ~ *j- (/-V)
761,3ᵃ persona activa (alomorfo),*w-
762,3ᵃ persona activa (alomorfo),*Ø-
763,1ᵃ persona singular estativa,*i-d-
764,1ᵃ persona plural estativa,*qo-d- ~ *qo-
765,2ᵃ persona singular estativa,*ʔa-d-
