No.,Gloss,FORM,Pɾoto-Embeɾá
77,coser,**ka-,*ka-
78,crudo,**õkoa,*õkoa
79,cuatro,,*kiˈmãɾe
80,cuchillo,**ˈneko,*ˈneko
81,culebra,,*taaˈma
82,cuna,**huˈɾa,*huˈɾa
83,cuñado,**uˈatʃe,*uˈae
84,cuñada,,*ãikoˈɾe
85,chontaduro,,*hẽˈa
86,chupar,**hõ-,*hõ-
87,dañar,**ãɾi-,*ãɾi-
88,dar,**dea-,
89,envolver,**bɯɾa-,*bɯɾa-
90,debajo,**ekaˈɾe,*ekaˈɾe
91,decir,**a-,*a-
92,delante,**nã,*nã
93,demostrativo,**(a)tʃa-,*atʃa-
94,demostrativo,**mã-,*mã-
95,derramar,**kua-,*kua-
96,después,,*tẽa
97,diente,**kiˈda,*kiˈda
98,doloroso,,*ˈpua
99,dormir,**kãi-,*kãi-
100,dos,**nuˈmĩ,*uˈmẽ
101,dulce,**kũˈa,*kũˈa
102,duro,,*tʃakaˈɾea
103,"él, ella (absolutivo)",**i,*ˈitʃi
104,"él, ella (ergativo; otros casos)",**iˈɾu,*iˈɾu
105,ellos,**ama,*ã-
106,empujar,**sĩa-,*sĩa-
107,enfático,**-ta,*-ta
108,ergativo,,*-ba
109,esconderse,**mẽɾβ-,*de
110,ese,**hãˈkɯ,*hãˈkɯ
111,esperar,**nɯ̃-,*nɯ̃-
112,estar,**tʃiɾ-,*tʃiɾ-
113,estar,**keɾ-,*keɾ-
114,este,,*nãˈkɯ
115,este / ese,,*mãˈkɯ
116,excremento,,*ˈã
117,fiebre,**kɯˈwa / kɯwamia,*kɯˈwa / kɯwamia
118,flecha,,*ukiˈda
119,flor,,*nẽpono
120,fresco (estar),**õdo-,*õdoa-
121,frío,,*kũɾaˈsaa- / kũɾaˈsãa-
122,frío (estar),**hĩˈsu-,*hĩˈsua- / hiˈsua
123,"fruta, frutal",**neme+hõ,*nẽˈhõ
124,fruta,,*ˈta / nẽˈta
125,gallina,,*etekeˈɾe
126,gavilán,**ˈneme ˈhõbɯ,*ˈnẽ ˈhõbɯ
127,gavilán quebrantahuesos,**uaˈbibi,
128,genitivo,**-tʃi,*-tʃi
129,gente,,*ẽbẽˈɾa / ebeˈɾã
130,gordo (estar),,*boˈɾea
131,grande,,*uaiˈβɯa
132,grande,,*tʃoɾoma
133,"grano, pepita",**daˈbu,*daˈbu
134,gritar,**βĩa,*bia- / bĩa-
135,guacamayo,**bakaˈɾa,*bakaˈɾa
136,guadua,**sikoˈɾo,*sikoˈɾo
137,gusano,,*ˈki
138,hacer,,*o-
139,hacha,,*tʃakaˈɾa
140,hierba,**pũˈa-,*pũˈahaɾa
141,hígado,**tãˈɾi,*tãˈɾi
142,hija,**ˈkau,*ˈkau
143,hijo,,*uˈaɾa
144,hoja,**keˈɾu,*keˈɾu
145,hoja,,*kedua
146,hombre,,
147,hueco,,*uˈɾia
148,huevo,,*nẽɯ̃mɯ̃
149,humo,**nãˈɾi,*nãˈɾi
150,iguana,**opoˈka,*opoˈga
151,intestinos,**hɯ / hɯ̃,*hũˈsi
152,interrogativo,**hã-,
153,ir,**uã-,*wã-
154,isla,**ˈmoɾo,
155,joven,,*kũˈtɾaa
156,jugar,**heme-,*hemene-
157,"jugo, líquido",,*βa
158,"juntar, recoger",**pe-,*pe-
159,lanza,,*miˈasu
160,largo,,*dɾeaˈsoa
161,látigo,,*ˈsoa
162,lengua,**meu,*kĩˈɾãme
163,leña,,*tɯˈbɯ
164,limitativo,**-bai,*-bai
165,lombriz,**mokiˈta,*mokiˈta
166,luna,**ede,*hedeˈko / edeˈko
167,llamar,**tɯ̃ɾɯ-,*tɾɯ̃-
168,llano,**koɾi,*ˈkoɾi
169,llegar,**βaɾi-,*βaɾi-
170,llegar a ser,**ba-,*ba-
171,maduro,,*poˈɾea
172,maíz,**ˈbe,*ˈbe
173,"mano, brazo",**huˈa,*huˈa
174,mantis,**tɯ̃koˈmia,*tɯ̃koˈmia
175,mar,**puˈsa,*puˈsa
176,martilla,**kusumˈpi,*kusũˈpi
177,más,,*ua-
178,matar,,*bwa-
179,mentir,,*seˈa
180,miedo,,*peɾa-
181,mohano,**aˈɾibada,*aˈɾibada
182,moler,**ba-,*ba-
183,mono,**koˈtutu,*koˈtutu
184,morder,**kaa-,*kaa-
185,mosca azul,**ɯ̃kana,*ɯ̃kana
186,mujer,**ˈɯe / ɯẽ,*uˈẽɾa
187,"mundo, país",**ˈduɾa,*ˈdɾua
188,muslo,,*βakaˈɾa / βãkaˈɾa
189,nacer,,*to-
190,nadar,,*kui-
191,nariz,**kẽˈbu,*kẽˈbu
192,negativo,,*-+ẽ- / -+e-
193,negro,,*paiˈmaa
194,no,**ɯ̃+ɯ̃,*ɯ̃+ɯ̃
195,nombre,**tɯ̃ˈɾɯ,*tɾɯ̃
196,nosotros,**da-,*da-
197,nube,**hɯ̃ɾa,*hũɾaˈɾa
198,nuca,,*ɯ̃βusi / hɯ̃βɯsi
199,nuera,**ãĩˈku,*ãĩˈku
200,nuevo,**ˈiudi,*-uˈidi
201,nutria,**aˈi,*auˈi
202,oír,**ũɾi-,*ũɾi-
203,ojo,**daˈbu,*daˈbu
204,oler,**ɯɯ- / ɯ̃ɯ-,*ɯ̃-
205,olla,,*tʃoˈko
206,olla,,*kuguˈɾu
207,ombligo,,*komɯˈa
208,oreja,,*kɯuɯˈɾɯ
209,"orilla, borde",**ˈi,*ˈi
210,orinar,,*sia
211,otro,**deua-,*deuaˈɾa
212,otro,,
213,padre,,*tʃeˈtʃa
214,palma,**aˈɾa,*aˈɾa
215,palo / hueso,**βɯ,*bɯuˈɾɯ
216,para,**ita / itea,*ita / itea
217,partir,**toa-,*toa-
218,pecho,**ˈtũɾa,*ˈtɾũa
219,peine,**tɯ̃+eˈɾu,*tɯ̃+eˈɾu
220,pelear,,*tʃõo-
221,pelícano,,*tuˈɾa
222,pene,**ˈme,*ˈme
223,pensar,**kĩɾi-+ũsia-,*kĩɾisia-
224,pequeño,**ˈtʃake,*ˈtʃake
225,perdiz,,*tʃokoˈɾo
226,periquito,**kekeˈɾe,*kekeˈɾe
227,perro,,*uˈsa
228,pesado,**ˈtʃɯˈkɯ-,*tʃɯˈkɯɑ
229,pesar,**tʃatʃi-,*tʃa-
230,pescar,**ɯa-,*ɯa-
231,pestaña,**daˈbu kaˈɾa,*daˈbu kaˈɾa
232,pez,,*βeˈda
233,piedra,**mõ,*mõ
234,pie,,*hĩˈɾu
235,piel,**ˈeu,*ˈe
236,"pinchar, chucear",**su-,*su
237,pintar,**pã-,*pã-
238,piojo,**ˈtɯ̃,*ˈtɯ̃
239,pluralizador,**-ɾã,*-ɾã / -ɾa
240,pobre,,*supuɾi / supuɾia
241,poder sobre,**hai,*hai
242,podrirse,**βeɾaua,*beɾaua-
243,posesivo,**ˈden,*-de
244,puercoespín,,*õpidi
245,qué,**ˈkãɾe,*ˈkãɾe
246,quemar(se),**baa- / pa-,*baa- / pa-
247,quién,**ˈkai,*ˈkai
248,raíz,**ˈkaˈɾa,*ˈkaˈɾa
249,rajar leña,**tope- / toape,*tope- / toape
250,rana venenosa,**kõˈkõĩ,*kõˈkõĩ
251,raspar,**uẽ-,*uẽ-
252,remar,,*ui-
253,respirar,,*ĩaba-
254,río arriba,,*uãˈɾaa
255,rojo,**puˈɾu,*puˈɾu
256,"saber, conocer",**kaua-,*kaua-
257,sabroso,,*uaˈɾaa
258,sal,**ˈta / ˈtã,*ˈtã
259,salir,,*utʃia-
260,sangre,,*uˈa
261,sapo,**bokoˈɾo / kopoˈɾo,*bokoˈɾo
262,secar,**ˈpo,*poa-
263,selva,,*ˈmẽa
264,selva,,*oˈi
265,sembrar,,*uu-
266,semilla,,*nẽˈta
267,"ser, estar",,*βɯ-
268,"ser, estar",**nɯ̃-,*nɯ̃-
269,sí,**ma+ema,*mãẽ
270,sobar,,
271,sobre,**ɯ̃ˈɾɯ,*ɯ̃ˈɾɯ
272,sol,,
273,solo,,*ituaˈba
274,soplar,**pua-,*pua-
275,suegra,**pa-,*pa-
276,suegro,**tʃai-,*tʃaikõˈɾe
277,sufijo derivativo,**-ˈmia,*-ˈmia
278,sufijo derivativo,**-de,*-de
279,sufijo derivativo,**-ba,*-ba
280,sufijo derivativo,**-pe-,*-pe-
281,sufijo derivativo (causativo),**-bi-,*-bi-
282,sufijo derivativo (formativo de demostrativos),**-kɯ,*-kɯ
283,tábano,,*ˈsĩta
284,taparrabos,,*ãteˈa
285,tarde,**keuaˈɾaa,*keuaˈɾaa
286,"teta, ubre",**ˈhu,*ˈhu
287,tierra,,*ekoˈɾo
288,tigre,,*imaˈma
289,tirar flechas,**dɯɾi-,*dɾɯ-
290,todo,**thũˈmã / hũˈmã,*hũˈmã
291,tres,,*ũˈpea
292,trueno,**ˈpa,*ˈpa
293,"uno, solo",**aˈβa / ãˈβa,*aˈba
294,untar,**puɾu-,*puɾu-
295,"usted, tú",**ˈβɯ,*ˈβɯ
296,ustedes,**ˈbãɾa,*ˈbãɾa
297,vacío,**baˈɾii,*baˈɾii
298,vampiro,,*ĩˈka
299,venado,,*ˈβeˈki
300,venado,**sũˈɾa,
301,venir,**uɾu-,*uɾu-
302,venir,**tʃe-,*tʃe-
303,verdad,,*uˈãaɾa
304,"verde, azul",**pãuaˈɾaa,*pãuaˈɾaa
305,viento,,*nãku
306,viuda,,*pẽˈtɾaa
307,volar,,*uãbaɾi-
308,vulva,,*ˈkẽ
309,yerno,**ˈiu-,*uiˈku
310,yo,**ˈmɯ̃,*ˈmɯ̃
311,"zopilote, gallinazo",**ãkoˈso,*ãkoˈso
